transaction_id,user_id,product_id,count
T0453,167,P028,5
T0454,101,P001,2
T0455,122,P031,1
T0456,166,P023,4
T0457,135,P021,5
T0458,150,P049,2
T0459,119,P016,1
T0460,153,P020,5
T0461,193,P003,3
T0462,151,P018,1
T0463,167,P004,3
T0464,183,P044,3
T0465,192,P028,1
T0466,180,P033,5
T0467,185,P046,2
T0468,133,P047,1
T0469,194,P028,1
T0470,174,P047,2
T0471,196,P014,3
T0472,115,P036,4
T0473,187,P024,3
T0474,194,P024,5
T0475,166,P049,2
T0476,143,P007,5
T0477,143,P025,1
T0478,171,P038,1
T0479,195,P014,1
T0480,137,P007,3
T0481,176,P045,2
T0482,185,P002,2
T0483,141,P015,4
T0484,160,P004,2
T0485,111,P038,4
T0486,103,P019,2
T0487,156,P024,5
T0488,118,P046,5
T0489,137,P046,2
T0490,117,P044,5
T0491,127,P031,2
T0492,136,P025,3
T0493,169,P040,2
T0494,120,P048,2
T0495,139,P004,1
T0496,149,P004,2
T0497,118,P014,1
T0498,120,P011,2
T0499,139,P005,2
T0500,147,P044,5
